English,Braille
green hate jump blue stand love,⠛⠗⠑⠑⠝ ⠓⠁⠞⠑ ⠚⠥⠍⠏ ⠃⠇⠥⠑ ⠎⠞⠁⠝⠙ ⠇⠕⠧⠑
open dream touch hate hate touch smile fast,⠕⠏⠑⠝ ⠙⠗⠑⠁⠍ ⠞⠕⠥⠉⠓ ⠓⠁⠞⠑ ⠓⠁⠞⠑ ⠞⠕⠥⠉⠓ ⠎⠍⠊⠇⠑ ⠋⠁⠎⠞
write send walk are sad,⠺⠗⠊⠞⠑ ⠎⠑⠝⠙ ⠺⠁⠇⠅ ⠁⠗⠑ ⠎⠁⠙
take white walk dark white come how go,⠞⠁⠅⠑ ⠺⠓⠊⠞⠑ ⠺⠁⠇⠅ ⠙⠁⠗⠅ ⠺⠓⠊⠞⠑ ⠉⠕⠍⠑ ⠓⠕⠺ ⠛⠕
take see come moon,⠞⠁⠅⠑ ⠎⠑⠑ ⠉⠕⠍⠑ ⠍⠕⠕⠝
come open hold think,⠉⠕⠍⠑ ⠕⠏⠑⠝ ⠓⠕⠇⠙ ⠞⠓⠊⠝⠅
bright walk today think,⠃⠗⠊⠛⠓⠞ ⠺⠁⠇⠅ ⠞⠕⠙⠁⠽ ⠞⠓⠊⠝⠅
moon world night smile dark stand,⠍⠕⠕⠝ ⠺⠕⠗⠇⠙ ⠝⠊⠛⠓⠞ ⠎⠍⠊⠇⠑ ⠙⠁⠗⠅ ⠎⠞⠁⠝⠙
dream send give are go dream laugh,⠙⠗⠑⠁⠍ ⠎⠑⠝⠙ ⠛⠊⠧⠑ ⠁⠗⠑ ⠛⠕ ⠙⠗⠑⠁⠍ ⠇⠁⠥⠛⠓
feel slow sun fast black,⠋⠑⠑⠇ ⠎⠇⠕⠺ ⠎⠥⠝ ⠋⠁⠎⠞ ⠃⠇⠁⠉⠅
go jump moon jump moon,⠛⠕ ⠚⠥⠍⠏ ⠍⠕⠕⠝ ⠚⠥⠍⠏ ⠍⠕⠕⠝
black dark happy think run think stay love,⠃⠇⠁⠉⠅ ⠙⠁⠗⠅ ⠓⠁⠏⠏⠽ ⠞⠓⠊⠝⠅ ⠗⠥⠝ ⠞⠓⠊⠝⠅ ⠎⠞⠁⠽ ⠇⠕⠧⠑
come you bright run are hate sad yellow,⠉⠕⠍⠑ ⠽⠕⠥ ⠃⠗⠊⠛⠓⠞ ⠗⠥⠝ ⠁⠗⠑ ⠓⠁⠞⠑ ⠎⠁⠙ ⠽⠑⠇⠇⠕⠺
black come stand dark blue go,⠃⠇⠁⠉⠅ ⠉⠕⠍⠑ ⠎⠞⠁⠝⠙ ⠙⠁⠗⠅ ⠃⠇⠥⠑ ⠛⠕
open hello open green,⠕⠏⠑⠝ ⠓⠑⠇⠇⠕ ⠕⠏⠑⠝ ⠛⠗⠑⠑⠝
walk feel love black slow,⠺⠁⠇⠅ ⠋⠑⠑⠇ ⠇⠕⠧⠑ ⠃⠇⠁⠉⠅ ⠎⠇⠕⠺
sad fast smile take jump yellow sad,⠎⠁⠙ ⠋⠁⠎⠞ ⠎⠍⠊⠇⠑ ⠞⠁⠅⠑ ⠚⠥⠍⠏ ⠽⠑⠇⠇⠕⠺ ⠎⠁⠙
send smile touch how go hello,⠎⠑⠝⠙ ⠎⠍⠊⠇⠑ ⠞⠕⠥⠉⠓ ⠓⠕⠺ ⠛⠕ ⠓⠑⠇⠇⠕
laugh black fast are,⠇⠁⠥⠛⠓ ⠃⠇⠁⠉⠅ ⠋⠁⠎⠞ ⠁⠗⠑
yellow write open happy green,⠽⠑⠇⠇⠕⠺ ⠺⠗⠊⠞⠑ ⠕⠏⠑⠝ ⠓⠁⠏⠏⠽ ⠛⠗⠑⠑⠝
slow fast happy touch,⠎⠇⠕⠺ ⠋⠁⠎⠞ ⠓⠁⠏⠏⠽ ⠞⠕⠥⠉⠓
wish bring sad are laugh you walk close,⠺⠊⠎⠓ ⠃⠗⠊⠝⠛ ⠎⠁⠙ ⠁⠗⠑ ⠇⠁⠥⠛⠓ ⠽⠕⠥ ⠺⠁⠇⠅ ⠉⠇⠕⠎⠑
black fast hello stay see slow run,⠃⠇⠁⠉⠅ ⠋⠁⠎⠞ ⠓⠑⠇⠇⠕ ⠎⠞⠁⠽ ⠎⠑⠑ ⠎⠇⠕⠺ ⠗⠥⠝
open today open how fast think how,⠕⠏⠑⠝ ⠞⠕⠙⠁⠽ ⠕⠏⠑⠝ ⠓⠕⠺ ⠋⠁⠎⠞ ⠞⠓⠊⠝⠅ ⠓⠕⠺
yellow morning jump dream,⠽⠑⠇⠇⠕⠺ ⠍⠕⠗⠝⠊⠝⠛ ⠚⠥⠍⠏ ⠙⠗⠑⠁⠍
close close run take read go,⠉⠇⠕⠎⠑ ⠉⠇⠕⠎⠑ ⠗⠥⠝ ⠞⠁⠅⠑ ⠗⠑⠁⠙ ⠛⠕
think hello dark good are blue,⠞⠓⠊⠝⠅ ⠓⠑⠇⠇⠕ ⠙⠁⠗⠅ ⠛⠕⠕⠙ ⠁⠗⠑ ⠃⠇⠥⠑
you give dream white dream see black feel,⠽⠕⠥ ⠛⠊⠧⠑ ⠙⠗⠑⠁⠍ ⠺⠓⠊⠞⠑ ⠙⠗⠑⠁⠍ ⠎⠑⠑ ⠃⠇⠁⠉⠅ ⠋⠑⠑⠇
slow jump feel dream laugh,⠎⠇⠕⠺ ⠚⠥⠍⠏ ⠋⠑⠑⠇ ⠙⠗⠑⠁⠍ ⠇⠁⠥⠛⠓
bright morning see red slow jump feel,⠃⠗⠊⠛⠓⠞ ⠍⠕⠗⠝⠊⠝⠛ ⠎⠑⠑ ⠗⠑⠙ ⠎⠇⠕⠺ ⠚⠥⠍⠏ ⠋⠑⠑⠇
night stay smile sad,⠝⠊⠛⠓⠞ ⠎⠞⠁⠽ ⠎⠍⠊⠇⠑ ⠎⠁⠙
read sad laugh world laugh touch send,⠗⠑⠁⠙ ⠎⠁⠙ ⠇⠁⠥⠛⠓ ⠺⠕⠗⠇⠙ ⠇⠁⠥⠛⠓ ⠞⠕⠥⠉⠓ ⠎⠑⠝⠙
write sun go open hello take,⠺⠗⠊⠞⠑ ⠎⠥⠝ ⠛⠕ ⠕⠏⠑⠝ ⠓⠑⠇⠇⠕ ⠞⠁⠅⠑
feel think write open today read run,⠋⠑⠑⠇ ⠞⠓⠊⠝⠅ ⠺⠗⠊⠞⠑ ⠕⠏⠑⠝ ⠞⠕⠙⠁⠽ ⠗⠑⠁⠙ ⠗⠥⠝
see dream dark dream,⠎⠑⠑ ⠙⠗⠑⠁⠍ ⠙⠁⠗⠅ ⠙⠗⠑⠁⠍
happy happy morning stay hold slow,⠓⠁⠏⠏⠽ ⠓⠁⠏⠏⠽ ⠍⠕⠗⠝⠊⠝⠛ ⠎⠞⠁⠽ ⠓⠕⠇⠙ ⠎⠇⠕⠺
bring see think touch you wish see,⠃⠗⠊⠝⠛ ⠎⠑⠑ ⠞⠓⠊⠝⠅ ⠞⠕⠥⠉⠓ ⠽⠕⠥ ⠺⠊⠎⠓ ⠎⠑⠑
blue walk stay bring walk send dark close,⠃⠇⠥⠑ ⠺⠁⠇⠅ ⠎⠞⠁⠽ ⠃⠗⠊⠝⠛ ⠺⠁⠇⠅ ⠎⠑⠝⠙ ⠙⠁⠗⠅ ⠉⠇⠕⠎⠑
write hello how take close white bright,⠺⠗⠊⠞⠑ ⠓⠑⠇⠇⠕ ⠓⠕⠺ ⠞⠁⠅⠑ ⠉⠇⠕⠎⠑ ⠺⠓⠊⠞⠑ ⠃⠗⠊⠛⠓⠞
read good go stand sun dark,⠗⠑⠁⠙ ⠛⠕⠕⠙ ⠛⠕ ⠎⠞⠁⠝⠙ ⠎⠥⠝ ⠙⠁⠗⠅
are read good walk dark,⠁⠗⠑ ⠗⠑⠁⠙ ⠛⠕⠕⠙ ⠺⠁⠇⠅ ⠙⠁⠗⠅
hello dream love you read morning,⠓⠑⠇⠇⠕ ⠙⠗⠑⠁⠍ ⠇⠕⠧⠑ ⠽⠕⠥ ⠗⠑⠁⠙ ⠍⠕⠗⠝⠊⠝⠛
today night are hate close you,⠞⠕⠙⠁⠽ ⠝⠊⠛⠓⠞ ⠁⠗⠑ ⠓⠁⠞⠑ ⠉⠇⠕⠎⠑ ⠽⠕⠥
dark read happy black touch smile dark,⠙⠁⠗⠅ ⠗⠑⠁⠙ ⠓⠁⠏⠏⠽ ⠃⠇⠁⠉⠅ ⠞⠕⠥⠉⠓ ⠎⠍⠊⠇⠑ ⠙⠁⠗⠅
happy take jump bright yellow write white,⠓⠁⠏⠏⠽ ⠞⠁⠅⠑ ⠚⠥⠍⠏ ⠃⠗⠊⠛⠓⠞ ⠽⠑⠇⠇⠕⠺ ⠺⠗⠊⠞⠑ ⠺⠓⠊⠞⠑
touch walk feel bright run black write dark,⠞⠕⠥⠉⠓ ⠺⠁⠇⠅ ⠋⠑⠑⠇ ⠃⠗⠊⠛⠓⠞ ⠗⠥⠝ ⠃⠇⠁⠉⠅ ⠺⠗⠊⠞⠑ ⠙⠁⠗⠅
wish green black walk think red,⠺⠊⠎⠓ ⠛⠗⠑⠑⠝ ⠃⠇⠁⠉⠅ ⠺⠁⠇⠅ ⠞⠓⠊⠝⠅ ⠗⠑⠙
stand fast bring hold come,⠎⠞⠁⠝⠙ ⠋⠁⠎⠞ ⠃⠗⠊⠝⠛ ⠓⠕⠇⠙ ⠉⠕⠍⠑
morning bright stay love,⠍⠕⠗⠝⠊⠝⠛ ⠃⠗⠊⠛⠓⠞ ⠎⠞⠁⠽ ⠇⠕⠧⠑
morning moon happy open sad hate happy morning,⠍⠕⠗⠝⠊⠝⠛ ⠍⠕⠕⠝ ⠓⠁⠏⠏⠽ ⠕⠏⠑⠝ ⠎⠁⠙ ⠓⠁⠞⠑ ⠓⠁⠏⠏⠽ ⠍⠕⠗⠝⠊⠝⠛
black today good white jump stay hold,⠃⠇⠁⠉⠅ ⠞⠕⠙⠁⠽ ⠛⠕⠕⠙ ⠺⠓⠊⠞⠑ ⠚⠥⠍⠏ ⠎⠞⠁⠽ ⠓⠕⠇⠙
jump give yellow green moon yellow blue,⠚⠥⠍⠏ ⠛⠊⠧⠑ ⠽⠑⠇⠇⠕⠺ ⠛⠗⠑⠑⠝ ⠍⠕⠕⠝ ⠽⠑⠇⠇⠕⠺ ⠃⠇⠥⠑
yellow jump give bright are stand read hold,⠽⠑⠇⠇⠕⠺ ⠚⠥⠍⠏ ⠛⠊⠧⠑ ⠃⠗⠊⠛⠓⠞ ⠁⠗⠑ ⠎⠞⠁⠝⠙ ⠗⠑⠁⠙ ⠓⠕⠇⠙
morning jump white today bright,⠍⠕⠗⠝⠊⠝⠛ ⠚⠥⠍⠏ ⠺⠓⠊⠞⠑ ⠞⠕⠙⠁⠽ ⠃⠗⠊⠛⠓⠞
stay are feel morning go,⠎⠞⠁⠽ ⠁⠗⠑ ⠋⠑⠑⠇ ⠍⠕⠗⠝⠊⠝⠛ ⠛⠕
sun today take moon bright moon jump,⠎⠥⠝ ⠞⠕⠙⠁⠽ ⠞⠁⠅⠑ ⠍⠕⠕⠝ ⠃⠗⠊⠛⠓⠞ ⠍⠕⠕⠝ ⠚⠥⠍⠏
how think hold fast hate stand think,⠓⠕⠺ ⠞⠓⠊⠝⠅ ⠓⠕⠇⠙ ⠋⠁⠎⠞ ⠓⠁⠞⠑ ⠎⠞⠁⠝⠙ ⠞⠓⠊⠝⠅
morning green hello take read run bring,⠍⠕⠗⠝⠊⠝⠛ ⠛⠗⠑⠑⠝ ⠓⠑⠇⠇⠕ ⠞⠁⠅⠑ ⠗⠑⠁⠙ ⠗⠥⠝ ⠃⠗⠊⠝⠛
see white love yellow write,⠎⠑⠑ ⠺⠓⠊⠞⠑ ⠇⠕⠧⠑ ⠽⠑⠇⠇⠕⠺ ⠺⠗⠊⠞⠑
read night come touch touch black sun,⠗⠑⠁⠙ ⠝⠊⠛⠓⠞ ⠉⠕⠍⠑ ⠞⠕⠥⠉⠓ ⠞⠕⠥⠉⠓ ⠃⠇⠁⠉⠅ ⠎⠥⠝
dark send read see see see red,⠙⠁⠗⠅ ⠎⠑⠝⠙ ⠗⠑⠁⠙ ⠎⠑⠑ ⠎⠑⠑ ⠎⠑⠑ ⠗⠑⠙
laugh jump send bring bring how read,⠇⠁⠥⠛⠓ ⠚⠥⠍⠏ ⠎⠑⠝⠙ ⠃⠗⠊⠝⠛ ⠃⠗⠊⠝⠛ ⠓⠕⠺ ⠗⠑⠁⠙
bright red hold how,⠃⠗⠊⠛⠓⠞ ⠗⠑⠙ ⠓⠕⠇⠙ ⠓⠕⠺
hold morning run think smile how black white,⠓⠕⠇⠙ ⠍⠕⠗⠝⠊⠝⠛ ⠗⠥⠝ ⠞⠓⠊⠝⠅ ⠎⠍⠊⠇⠑ ⠓⠕⠺ ⠃⠇⠁⠉⠅ ⠺⠓⠊⠞⠑
smile black wish fast green,⠎⠍⠊⠇⠑ ⠃⠇⠁⠉⠅ ⠺⠊⠎⠓ ⠋⠁⠎⠞ ⠛⠗⠑⠑⠝
hello fast smile love laugh love,⠓⠑⠇⠇⠕ ⠋⠁⠎⠞ ⠎⠍⠊⠇⠑ ⠇⠕⠧⠑ ⠇⠁⠥⠛⠓ ⠇⠕⠧⠑
wish laugh sad think love,⠺⠊⠎⠓ ⠇⠁⠥⠛⠓ ⠎⠁⠙ ⠞⠓⠊⠝⠅ ⠇⠕⠧⠑
moon feel smile come dark,⠍⠕⠕⠝ ⠋⠑⠑⠇ ⠎⠍⠊⠇⠑ ⠉⠕⠍⠑ ⠙⠁⠗⠅
touch see fast good hate touch,⠞⠕⠥⠉⠓ ⠎⠑⠑ ⠋⠁⠎⠞ ⠛⠕⠕⠙ ⠓⠁⠞⠑ ⠞⠕⠥⠉⠓
write black sad stay think love,⠺⠗⠊⠞⠑ ⠃⠇⠁⠉⠅ ⠎⠁⠙ ⠎⠞⠁⠽ ⠞⠓⠊⠝⠅ ⠇⠕⠧⠑
bring walk hate give,⠃⠗⠊⠝⠛ ⠺⠁⠇⠅ ⠓⠁⠞⠑ ⠛⠊⠧⠑
run slow send hello,⠗⠥⠝ ⠎⠇⠕⠺ ⠎⠑⠝⠙ ⠓⠑⠇⠇⠕
sad hold open touch,⠎⠁⠙ ⠓⠕⠇⠙ ⠕⠏⠑⠝ ⠞⠕⠥⠉⠓
sad see take slow take smile jump,⠎⠁⠙ ⠎⠑⠑ ⠞⠁⠅⠑ ⠎⠇⠕⠺ ⠞⠁⠅⠑ ⠎⠍⠊⠇⠑ ⠚⠥⠍⠏
see green fast send stay,⠎⠑⠑ ⠛⠗⠑⠑⠝ ⠋⠁⠎⠞ ⠎⠑⠝⠙ ⠎⠞⠁⠽
white walk dream smile sun blue stand,⠺⠓⠊⠞⠑ ⠺⠁⠇⠅ ⠙⠗⠑⠁⠍ ⠎⠍⠊⠇⠑ ⠎⠥⠝ ⠃⠇⠥⠑ ⠎⠞⠁⠝⠙
black take are hello,⠃⠇⠁⠉⠅ ⠞⠁⠅⠑ ⠁⠗⠑ ⠓⠑⠇⠇⠕
happy blue send night jump happy bring see,⠓⠁⠏⠏⠽ ⠃⠇⠥⠑ ⠎⠑⠝⠙ ⠝⠊⠛⠓⠞ ⠚⠥⠍⠏ ⠓⠁⠏⠏⠽ ⠃⠗⠊⠝⠛ ⠎⠑⠑
happy stay green run dream,⠓⠁⠏⠏⠽ ⠎⠞⠁⠽ ⠛⠗⠑⠑⠝ ⠗⠥⠝ ⠙⠗⠑⠁⠍
black send send red good laugh,⠃⠇⠁⠉⠅ ⠎⠑⠝⠙ ⠎⠑⠝⠙ ⠗⠑⠙ ⠛⠕⠕⠙ ⠇⠁⠥⠛⠓
wish feel night stand,⠺⠊⠎⠓ ⠋⠑⠑⠇ ⠝⠊⠛⠓⠞ ⠎⠞⠁⠝⠙
sad fast hello dream dark,⠎⠁⠙ ⠋⠁⠎⠞ ⠓⠑⠇⠇⠕ ⠙⠗⠑⠁⠍ ⠙⠁⠗⠅
dream stay world morning come,⠙⠗⠑⠁⠍ ⠎⠞⠁⠽ ⠺⠕⠗⠇⠙ ⠍⠕⠗⠝⠊⠝⠛ ⠉⠕⠍⠑
think yellow yellow stand,⠞⠓⠊⠝⠅ ⠽⠑⠇⠇⠕⠺ ⠽⠑⠇⠇⠕⠺ ⠎⠞⠁⠝⠙
stay hold send think,⠎⠞⠁⠽ ⠓⠕⠇⠙ ⠎⠑⠝⠙ ⠞⠓⠊⠝⠅
see feel blue hello morning run are send,⠎⠑⠑ ⠋⠑⠑⠇ ⠃⠇⠥⠑ ⠓⠑⠇⠇⠕ ⠍⠕⠗⠝⠊⠝⠛ ⠗⠥⠝ ⠁⠗⠑ ⠎⠑⠝⠙
red white stay happy today,⠗⠑⠙ ⠺⠓⠊⠞⠑ ⠎⠞⠁⠽ ⠓⠁⠏⠏⠽ ⠞⠕⠙⠁⠽
hello blue today go take open good,⠓⠑⠇⠇⠕ ⠃⠇⠥⠑ ⠞⠕⠙⠁⠽ ⠛⠕ ⠞⠁⠅⠑ ⠕⠏⠑⠝ ⠛⠕⠕⠙
stand slow touch black today jump come,⠎⠞⠁⠝⠙ ⠎⠇⠕⠺ ⠞⠕⠥⠉⠓ ⠃⠇⠁⠉⠅ ⠞⠕⠙⠁⠽ ⠚⠥⠍⠏ ⠉⠕⠍⠑
love write see yellow give,⠇⠕⠧⠑ ⠺⠗⠊⠞⠑ ⠎⠑⠑ ⠽⠑⠇⠇⠕⠺ ⠛⠊⠧⠑
go bright stand hello white,⠛⠕ ⠃⠗⠊⠛⠓⠞ ⠎⠞⠁⠝⠙ ⠓⠑⠇⠇⠕ ⠺⠓⠊⠞⠑
read you night give,⠗⠑⠁⠙ ⠽⠕⠥ ⠝⠊⠛⠓⠞ ⠛⠊⠧⠑
good close stay close dream wish sun open,⠛⠕⠕⠙ ⠉⠇⠕⠎⠑ ⠎⠞⠁⠽ ⠉⠇⠕⠎⠑ ⠙⠗⠑⠁⠍ ⠺⠊⠎⠓ ⠎⠥⠝ ⠕⠏⠑⠝
give walk go come bring send,⠛⠊⠧⠑ ⠺⠁⠇⠅ ⠛⠕ ⠉⠕⠍⠑ ⠃⠗⠊⠝⠛ ⠎⠑⠝⠙
read come slow how bright,⠗⠑⠁⠙ ⠉⠕⠍⠑ ⠎⠇⠕⠺ ⠓⠕⠺ ⠃⠗⠊⠛⠓⠞
take stand give today world red,⠞⠁⠅⠑ ⠎⠞⠁⠝⠙ ⠛⠊⠧⠑ ⠞⠕⠙⠁⠽ ⠺⠕⠗⠇⠙ ⠗⠑⠙
walk red give write love,⠺⠁⠇⠅ ⠗⠑⠙ ⠛⠊⠧⠑ ⠺⠗⠊⠞⠑ ⠇⠕⠧⠑
go today see feel see open red,⠛⠕ ⠞⠕⠙⠁⠽ ⠎⠑⠑ ⠋⠑⠑⠇ ⠎⠑⠑ ⠕⠏⠑⠝ ⠗⠑⠙
fast hello dream wish,⠋⠁⠎⠞ ⠓⠑⠇⠇⠕ ⠙⠗⠑⠁⠍ ⠺⠊⠎⠓
bring fast morning think,⠃⠗⠊⠝⠛ ⠋⠁⠎⠞ ⠍⠕⠗⠝⠊⠝⠛ ⠞⠓⠊⠝⠅
think morning touch see hello go smile,⠞⠓⠊⠝⠅ ⠍⠕⠗⠝⠊⠝⠛ ⠞⠕⠥⠉⠓ ⠎⠑⠑ ⠓⠑⠇⠇⠕ ⠛⠕ ⠎⠍⠊⠇⠑
feel touch hello you love,⠋⠑⠑⠇ ⠞⠕⠥⠉⠓ ⠓⠑⠇⠇⠕ ⠽⠕⠥ ⠇⠕⠧⠑
send bright good hate bring,⠎⠑⠝⠙ ⠃⠗⠊⠛⠓⠞ ⠛⠕⠕⠙ ⠓⠁⠞⠑ ⠃⠗⠊⠝⠛
stay run come feel love white smile today,⠎⠞⠁⠽ ⠗⠥⠝ ⠉⠕⠍⠑ ⠋⠑⠑⠇ ⠇⠕⠧⠑ ⠺⠓⠊⠞⠑ ⠎⠍⠊⠇⠑ ⠞⠕⠙⠁⠽
night moon today fast sad write,⠝⠊⠛⠓⠞ ⠍⠕⠕⠝ ⠞⠕⠙⠁⠽ ⠋⠁⠎⠞ ⠎⠁⠙ ⠺⠗⠊⠞⠑
slow run send wish yellow,⠎⠇⠕⠺ ⠗⠥⠝ ⠎⠑⠝⠙ ⠺⠊⠎⠓ ⠽⠑⠇⠇⠕⠺
world sad slow how write read,⠺⠕⠗⠇⠙ ⠎⠁⠙ ⠎⠇⠕⠺ ⠓⠕⠺ ⠺⠗⠊⠞⠑ ⠗⠑⠁⠙
open morning hold yellow dark wish are,⠕⠏⠑⠝ ⠍⠕⠗⠝⠊⠝⠛ ⠓⠕⠇⠙ ⠽⠑⠇⠇⠕⠺ ⠙⠁⠗⠅ ⠺⠊⠎⠓ ⠁⠗⠑
send walk run morning send open read walk,⠎⠑⠝⠙ ⠺⠁⠇⠅ ⠗⠥⠝ ⠍⠕⠗⠝⠊⠝⠛ ⠎⠑⠝⠙ ⠕⠏⠑⠝ ⠗⠑⠁⠙ ⠺⠁⠇⠅
smile feel give walk,⠎⠍⠊⠇⠑ ⠋⠑⠑⠇ ⠛⠊⠧⠑ ⠺⠁⠇⠅
close stay you green yellow,⠉⠇⠕⠎⠑ ⠎⠞⠁⠽ ⠽⠕⠥ ⠛⠗⠑⠑⠝ ⠽⠑⠇⠇⠕⠺
blue hate see hello feel you morning close,⠃⠇⠥⠑ ⠓⠁⠞⠑ ⠎⠑⠑ ⠓⠑⠇⠇⠕ ⠋⠑⠑⠇ ⠽⠕⠥ ⠍⠕⠗⠝⠊⠝⠛ ⠉⠇⠕⠎⠑
morning walk yellow hate hello dark see give,⠍⠕⠗⠝⠊⠝⠛ ⠺⠁⠇⠅ ⠽⠑⠇⠇⠕⠺ ⠓⠁⠞⠑ ⠓⠑⠇⠇⠕ ⠙⠁⠗⠅ ⠎⠑⠑ ⠛⠊⠧⠑
yellow happy sad sun fast,⠽⠑⠇⠇⠕⠺ ⠓⠁⠏⠏⠽ ⠎⠁⠙ ⠎⠥⠝ ⠋⠁⠎⠞
hate blue blue dream night come see fast,⠓⠁⠞⠑ ⠃⠇⠥⠑ ⠃⠇⠥⠑ ⠙⠗⠑⠁⠍ ⠝⠊⠛⠓⠞ ⠉⠕⠍⠑ ⠎⠑⠑ ⠋⠁⠎⠞
feel bring green fast send you happy laugh,⠋⠑⠑⠇ ⠃⠗⠊⠝⠛ ⠛⠗⠑⠑⠝ ⠋⠁⠎⠞ ⠎⠑⠝⠙ ⠽⠕⠥ ⠓⠁⠏⠏⠽ ⠇⠁⠥⠛⠓
wish sad love write open read,⠺⠊⠎⠓ ⠎⠁⠙ ⠇⠕⠧⠑ ⠺⠗⠊⠞⠑ ⠕⠏⠑⠝ ⠗⠑⠁⠙
stay touch read hello,⠎⠞⠁⠽ ⠞⠕⠥⠉⠓ ⠗⠑⠁⠙ ⠓⠑⠇⠇⠕
fast read sad morning hold morning,⠋⠁⠎⠞ ⠗⠑⠁⠙ ⠎⠁⠙ ⠍⠕⠗⠝⠊⠝⠛ ⠓⠕⠇⠙ ⠍⠕⠗⠝⠊⠝⠛
hello slow feel run stay morning,⠓⠑⠇⠇⠕ ⠎⠇⠕⠺ ⠋⠑⠑⠇ ⠗⠥⠝ ⠎⠞⠁⠽ ⠍⠕⠗⠝⠊⠝⠛
open black morning today jump open walk green,⠕⠏⠑⠝ ⠃⠇⠁⠉⠅ ⠍⠕⠗⠝⠊⠝⠛ ⠞⠕⠙⠁⠽ ⠚⠥⠍⠏ ⠕⠏⠑⠝ ⠺⠁⠇⠅ ⠛⠗⠑⠑⠝
sad give today black morning how world,⠎⠁⠙ ⠛⠊⠧⠑ ⠞⠕⠙⠁⠽ ⠃⠇⠁⠉⠅ ⠍⠕⠗⠝⠊⠝⠛ ⠓⠕⠺ ⠺⠕⠗⠇⠙
laugh night you see feel,⠇⠁⠥⠛⠓ ⠝⠊⠛⠓⠞ ⠽⠕⠥ ⠎⠑⠑ ⠋⠑⠑⠇
write yellow touch fast,⠺⠗⠊⠞⠑ ⠽⠑⠇⠇⠕⠺ ⠞⠕⠥⠉⠓ ⠋⠁⠎⠞
think you wish happy,⠞⠓⠊⠝⠅ ⠽⠕⠥ ⠺⠊⠎⠓ ⠓⠁⠏⠏⠽
blue dark morning go,⠃⠇⠥⠑ ⠙⠁⠗⠅ ⠍⠕⠗⠝⠊⠝⠛ ⠛⠕
white see stand how blue send send are,⠺⠓⠊⠞⠑ ⠎⠑⠑ ⠎⠞⠁⠝⠙ ⠓⠕⠺ ⠃⠇⠥⠑ ⠎⠑⠝⠙ ⠎⠑⠝⠙ ⠁⠗⠑
hold slow touch moon sun,⠓⠕⠇⠙ ⠎⠇⠕⠺ ⠞⠕⠥⠉⠓ ⠍⠕⠕⠝ ⠎⠥⠝
come moon send bright morning,⠉⠕⠍⠑ ⠍⠕⠕⠝ ⠎⠑⠝⠙ ⠃⠗⠊⠛⠓⠞ ⠍⠕⠗⠝⠊⠝⠛
sun moon come feel yellow morning blue,⠎⠥⠝ ⠍⠕⠕⠝ ⠉⠕⠍⠑ ⠋⠑⠑⠇ ⠽⠑⠇⠇⠕⠺ ⠍⠕⠗⠝⠊⠝⠛ ⠃⠇⠥⠑
fast wish are go open go,⠋⠁⠎⠞ ⠺⠊⠎⠓ ⠁⠗⠑ ⠛⠕ ⠕⠏⠑⠝ ⠛⠕
world green you sun smile send sun yellow,⠺⠕⠗⠇⠙ ⠛⠗⠑⠑⠝ ⠽⠕⠥ ⠎⠥⠝ ⠎⠍⠊⠇⠑ ⠎⠑⠝⠙ ⠎⠥⠝ ⠽⠑⠇⠇⠕⠺
yellow see hold yellow,⠽⠑⠇⠇⠕⠺ ⠎⠑⠑ ⠓⠕⠇⠙ ⠽⠑⠇⠇⠕⠺
love dark see black think stay touch,⠇⠕⠧⠑ ⠙⠁⠗⠅ ⠎⠑⠑ ⠃⠇⠁⠉⠅ ⠞⠓⠊⠝⠅ ⠎⠞⠁⠽ ⠞⠕⠥⠉⠓
sad take hold walk love hate go,⠎⠁⠙ ⠞⠁⠅⠑ ⠓⠕⠇⠙ ⠺⠁⠇⠅ ⠇⠕⠧⠑ ⠓⠁⠞⠑ ⠛⠕
sun blue today send,⠎⠥⠝ ⠃⠇⠥⠑ ⠞⠕⠙⠁⠽ ⠎⠑⠝⠙
read moon fast hate send black blue,⠗⠑⠁⠙ ⠍⠕⠕⠝ ⠋⠁⠎⠞ ⠓⠁⠞⠑ ⠎⠑⠝⠙ ⠃⠇⠁⠉⠅ ⠃⠇⠥⠑
close today stay give bring slow read,⠉⠇⠕⠎⠑ ⠞⠕⠙⠁⠽ ⠎⠞⠁⠽ ⠛⠊⠧⠑ ⠃⠗⠊⠝⠛ ⠎⠇⠕⠺ ⠗⠑⠁⠙
today love red send send,⠞⠕⠙⠁⠽ ⠇⠕⠧⠑ ⠗⠑⠙ ⠎⠑⠝⠙ ⠎⠑⠝⠙
bright take write stand green hello moon,⠃⠗⠊⠛⠓⠞ ⠞⠁⠅⠑ ⠺⠗⠊⠞⠑ ⠎⠞⠁⠝⠙ ⠛⠗⠑⠑⠝ ⠓⠑⠇⠇⠕ ⠍⠕⠕⠝
red happy open bring bring hate fast,⠗⠑⠙ ⠓⠁⠏⠏⠽ ⠕⠏⠑⠝ ⠃⠗⠊⠝⠛ ⠃⠗⠊⠝⠛ ⠓⠁⠞⠑ ⠋⠁⠎⠞
come yellow world stay happy dream sun laugh,⠉⠕⠍⠑ ⠽⠑⠇⠇⠕⠺ ⠺⠕⠗⠇⠙ ⠎⠞⠁⠽ ⠓⠁⠏⠏⠽ ⠙⠗⠑⠁⠍ ⠎⠥⠝ ⠇⠁⠥⠛⠓
